"Name","DisplayName","Status","StartType"
"AarSvc_75326","Agent Activation Runtime_75326","Stopped","Manual"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Automatic"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_75326","GameDVR and Broadcast User Service_75326","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BluetoothUserService_75326","Bluetooth User Support Service_75326","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual"
"BthAvctpSvc","AVCTP service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_75326","CaptureService_75326","Stopped","Manual"
"cbdhsvc_75326","Clipboard User Service_75326","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_75326","Connected Devices Platform User Service_75326","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClipSVC","Client Licence Service (ClipSVC)","Running","Manual"
"CloudBackupRestoreSvc_75326","Cloud Backup and Restore Service_75326","Stopped","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COD.Broker.Service","COD.Broker.Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_75326","ConsentUX User Service_75326","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_75326","CredentialEnrollmentManagerUserSvc_75326","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimise drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_75326","DeviceAssociationBroker_75326","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Stopped","Manual"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicePickerUserSvc_75326","DevicePicker_75326","Stopped","Manual"
"DevicesFlowUserSvc_75326","DevicesFlow_75326","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Stopped","Disabled"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Stopped","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Manual"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Running","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EABackgroundService","EABackgroundService","Stopped","Manual"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EpicGamesUpdater","Epic Games Updater","Stopped","Manual"
"EpicOnlineServices","Epic Online Services","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Stopped","Manual"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual"
"FvSvc","NVIDIA FrameView SDK service","Stopped","Manual"
"GameInputRedistService","GameInput Redist Service","Running","Manual"
"GameInputSvc","GameInput Service","Stopped","Manual"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"hidserv","Human Interface Device Service","Running","Manual"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual"
"HvHost","HV Host Service","Stopped","Manual"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual"
"InstallService","Microsoft Store Install Service","Stopped","Manual"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic"
"iphlpsvc","IP Helper","Running","Automatic"
