"Category","Item","Status","Details"
"Backup","System Restore Point","CREATED",""
"Windows Update","HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU\NoAutoUpdate","APPLIED","1"
"Windows Update","HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\ExcludeWUDriversInQualityUpdate","APPLIED","1"
"Windows Update","HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU\NoAutoRebootWithLoggedOnUsers","APPLIED","1"
"Delivery Optimization","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization\DODownloadMode","APPLIED","0"
"Microsoft Store","Automatic Store updates","RETAINED","Required/recommended for Gaming Services and Store dependencies"
"Defender","Scheduled scans","DISABLED",""
"Defender","Real-time protection","RETAINED",""
"Gaming","HKCU:\Software\Microsoft\GameBar\AutoGameModeEnabled","APPLIED","1"
"Gaming","HKCU:\System\GameConfigStore\GameDVR_Enabled","APPLIED","0"
"Gaming","HKCU:\Software\Microsoft\Windows\CurrentVersion\GameDVR\AppCaptureEnabled","APPLIED","0"
"Gaming","HKLM:\SOFTWARE\Policies\Microsoft\Windows\GameDVR\AllowGameDVR","APPLIED","0"
"Gaming","HKLM:\SYSTEM\CurrentControlSet\Control\GraphicsDrivers\HwSchMode","APPLIED","2"
"Widgets","HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\TaskbarDa","FAILED","Attempted to perform an unauthorized operation."
"Consumer Features","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableWindowsConsumerFeatures","APPLIED","1"
"Consumer Features","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableConsumerAccountStateContent","APPLIED","1"
"Consumer Features","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableTailoredExperiencesWithDiagnosticData","APPLIED","1"
"Telemetry","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DataCollection\AllowTelemetry","APPLIED","0"
"Telemetry","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DataCollection\DoNotShowFeedbackNotifications","APPLIED","1"
"Activity History","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableActivityFeed","APPLIED","0"
"Activity History","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\PublishUserActivities","APPLIED","0"
"Activity History","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\UploadUserActivities","APPLIED","0"
"Privacy","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo\DisabledByGroupPolicy","APPLIED","1"
"Edge","HKLM:\SOFTWARE\Policies\Microsoft\Edge\StartupBoostEnabled","APPLIED","0"
"Edge","HKLM:\SOFTWARE\Policies\Microsoft\Edge\BackgroundModeEnabled","APPLIED","0"
"Service","DiagTrack","APPLIED","Startup=Disabled; Status=Stopped"
"Service","WSearch","APPLIED","Startup=Disabled; Status=Stopped"
"Startup","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run\EpicGamesLauncher","REMOVED",""
"Startup","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run\EADM","REMOVED",""
"Startup","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Logitech Download Assistant","REMOVED",""
"Startup","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run\Logitech Download Assistant","NOT FOUND",""
"Service","OptionsPlusUpdaterService","APPLIED","Startup=Manual; Status=Stopped"
"AppX","Clipchamp.Clipchamp","NOT FOUND",""
"AppX","Microsoft.BingNews","NOT FOUND",""
"AppX","Microsoft.BingWeather","NOT FOUND",""
"AppX","Microsoft.GetHelp","NOT FOUND",""
"AppX","Microsoft.Getstarted","NOT FOUND",""
"AppX","Microsoft.MicrosoftOfficeHub","NOT FOUND",""
"AppX","Microsoft.MicrosoftSolitaireCollection","NOT FOUND",""
"AppX","Microsoft.MicrosoftStickyNotes","REMOVED",""
"AppX","Microsoft.OutlookForWindows","REMOVED",""
"AppX","Microsoft.People","NOT FOUND",""
"AppX","Microsoft.PowerAutomateDesktop","NOT FOUND",""
"AppX","Microsoft.Windows.DevHome","NOT FOUND",""
"AppX","Microsoft.WindowsFeedbackHub","NOT FOUND",""
"AppX","Microsoft.WindowsMaps","NOT FOUND",""
"AppX","Microsoft.YourPhone","NOT FOUND",""
"AppX","MicrosoftCorporationII.QuickAssist","NOT FOUND",""
"AppX","MSTeams","REMOVED",""
"VBS","VBS/HVCI","UNCHANGED","Benchmark first; default for 4K gaming profile"
"Retained","SysMain","UNCHANGED",""
"Retained","Memory compression","UNCHANGED",""
"Retained","System-managed page file","UNCHANGED",""
"Retained","Defender real-time protection","UNCHANGED",""
"Retained","Defender behaviour monitoring","UNCHANGED",""
"Retained","Defender cloud protection","UNCHANGED",""
"Retained","Defender intelligence updates","UNCHANGED",""
"Retained","Windows Update service","UNCHANGED",""
"Retained","BITS","UNCHANGED",""
"Retained","Delivery Optimization service","UNCHANGED",""
"Retained","Microsoft Store","UNCHANGED",""
"Retained","Gaming Services","UNCHANGED",""
"Retained","Xbox identity infrastructure","UNCHANGED",""
"Retained","Windows Installer","UNCHANGED",""
"Retained","Windows servicing stack","UNCHANGED",""
"Retained","Secure Boot","UNCHANGED",""
"Retained","TPM","UNCHANGED",""
"Retained","Audio services","UNCHANGED",""
"Retained","Realtek audio services","UNCHANGED",""
"Retained","NVIDIA services","UNCHANGED",""
"Retained","Steam Client Service","UNCHANGED",""
