"Name","DisplayName","Status","StartType"
"AarSvc_7d2eb","Agent Activation Runtime_7d2eb","Stopped","Manual"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Automatic"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_7d2eb","GameDVR and Broadcast User Service_7d2eb","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Running","Automatic"
"BluetoothUserService_7d2eb","Bluetooth User Support Service_7d2eb","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual"
"BthAvctpSvc","AVCTP service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_7d2eb","CaptureService_7d2eb","Stopped","Manual"
"cbdhsvc_7d2eb","Clipboard User Service_7d2eb","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_7d2eb","Connected Devices Platform User Service_7d2eb","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClipSVC","Client Licence Service (ClipSVC)","Running","Manual"
"CloudBackupRestoreSvc_7d2eb","Cloud Backup and Restore Service_7d2eb","Stopped","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COD.Broker.Service","COD.Broker.Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_7d2eb","ConsentUX User Service_7d2eb","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_7d2eb","CredentialEnrollmentManagerUserSvc_7d2eb","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimise drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_7d2eb","DeviceAssociationBroker_7d2eb","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Stopped","Manual"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicePickerUserSvc_7d2eb","DevicePicker_7d2eb","Stopped","Manual"
"DevicesFlowUserSvc_7d2eb","DevicesFlow_7d2eb","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Automatic"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Running","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EABackgroundService","EABackgroundService","Stopped","Manual"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
